Sample Name,Array Data File,Factor Value[Dose],Factor Value[Ionizing Radiation]
GSM821312 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-156/GLDS-156_Raw_Data/GSM821312_86_251486810456_1_4.txt,8 gray,gamma
GSM821311 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-156/GLDS-156_Raw_Data/GSM821311_85_251486810407_1_4.txt,8 gray,gamma
GSM821310 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-156/GLDS-156_Raw_Data/GSM821310_84_251486810405_1_4.txt,8 gray,gamma
GSM821309 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-156/GLDS-156_Raw_Data/GSM821309_83_251486810405_1_3.txt,8 gray,gamma
GSM821308 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-156/GLDS-156_Raw_Data/GSM821308_82_251486810407_1_3.txt,8 gray,gamma
GSM821307 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-156/GLDS-156_Raw_Data/GSM821307_81_251486810407_1_2.txt,8 gray,gamma
GSM821306 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-156/GLDS-156_Raw_Data/GSM821306_25_251486813487_1_2.txt,2 gray,gamma
GSM821305 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-156/GLDS-156_Raw_Data/GSM821305_24_251486810407_1_1.txt,2 gray,gamma
GSM821304 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-156/GLDS-156_Raw_Data/GSM821304_23_251486810455_1_4.txt,2 gray,gamma
GSM821303 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-156/GLDS-156_Raw_Data/GSM821303_22_251486810403_1_4.txt,2 gray,gamma
GSM821302 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-156/GLDS-156_Raw_Data/GSM821302_21_251486810403_1_3.txt,2 gray,gamma
GSM821301 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-156/GLDS-156_Raw_Data/GSM821301_07_251486810481_1_2.txt,0 gray,gamma
GSM821300 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-156/GLDS-156_Raw_Data/GSM821300_06_251486813487_1_1.txt,0 gray,gamma
GSM821299 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-156/GLDS-156_Raw_Data/GSM821299_05_251486810455_1_3.txt,0 gray,gamma
GSM821298 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-156/GLDS-156_Raw_Data/GSM821298_04_251486810404_1_3.txt,0 gray,gamma
GSM821297 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-156/GLDS-156_Raw_Data/GSM821297_03_251486810404_1_2.txt,0 gray,gamma
GSM821296 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-156/GLDS-156_Raw_Data/GSM821296_02_251486810403_1_2.txt,0 gray,gamma
GSM821295 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-156/GLDS-156_Raw_Data/GSM821295_01_251486810405_1_2.txt,0 gray,gamma
