Sample Name,Array Data File,Factor Value[gravity]
GSM675878 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-41/GLDS-41_Raw_Data/GSM675878.txt,Control Groups
GSM675877 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-41/GLDS-41_Raw_Data/GSM675877.txt,Control Groups
GSM675876 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-41/GLDS-41_Raw_Data/GSM675876.txt,Control Groups
GSM675875 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-41/GLDS-41_Raw_Data/GSM675875.txt,Weightlessness
GSM675874 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-41/GLDS-41_Raw_Data/GSM675874.txt,Weightlessness
GSM675873 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-41/GLDS-41_Raw_Data/GSM675873.txt,Weightlessness
GSM675872 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-41/GLDS-41_Raw_Data/GSM675872.txt,"Gravity, Altered"
GSM675871 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-41/GLDS-41_Raw_Data/GSM675871.txt,"Gravity, Altered"
GSM675870 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-41/GLDS-41_Raw_Data/GSM675870.txt,"Gravity, Altered"
GSM675869 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-41/GLDS-41_Raw_Data/GSM675869.txt,Control Groups
GSM675868 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-41/GLDS-41_Raw_Data/GSM675868.txt,Control Groups
GSM675867 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-41/GLDS-41_Raw_Data/GSM675867.txt,Control Groups
GSM675866 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-41/GLDS-41_Raw_Data/GSM675866.txt,Weightlessness
GSM675865 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-41/GLDS-41_Raw_Data/GSM675865.txt,Weightlessness
GSM675864 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-41/GLDS-41_Raw_Data/GSM675864.txt,Weightlessness
GSM675863 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-41/GLDS-41_Raw_Data/GSM675863.txt,"Gravity, Altered"
GSM675862 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-41/GLDS-41_Raw_Data/GSM675862.txt,"Gravity, Altered"
GSM675861 extract 1,C:/Users/tangk/Desktop/Agilent_Microarray/input_data/GLDS-41/GLDS-41_Raw_Data/GSM675861.txt,"Gravity, Altered"
